Source Port,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Proto_0.0,Proto_6.0,Proto_17.0,Label
0.5570844,-0.0062163128,-0.006870186,-0.0028384076,-0.0011249939,0.0038308557,-0.0069220997,0.006370513,-0.0052114837,-0.0070866793,0.0005258024,-0.002141626,-1.5059719e-05,-0.0005415834,0.0012150626,-0.0017512194,0.19665998,0.0031751506,-0.000843931,-0.011538285,-0.0046176333,-0.008070427,0.001645552,0.0036727428,-0.0029416215,0.0018260069,0.001442693,-0.0005764989,0.0012972485,-0.0053576394,-0.0031355992,0.0012670755,-0.0015379572,0.00065193605,0.004400924,0.28087223,0.0053535113,-0.0051009767,-0.007802657,0.006019938,-0.0075487215,0.0031700481,-0.0025545778,0.0055485507,-0.0007908647,-0.015704125,1.014868,-0.006780432,0.00033330312,-0.0050754575,-0.0063364413,0.0023583937,0.0011402328,0.0020256646,0.0024822727,0.010181752,0.000378903,-0.0054149358,-0.0005219467,6.700307e-05,-0.0014756136,0.0014529563,0.74257827,-0.0041881464,0.0017783386,0.008390406,0.00013267342,-0.0027314508,0.0016512116,0.0017243885,-0.0040557976,-0.0051891548,1.0200489,0.008009051,0
0.4966918,-0.00092975143,-0.0037755608,-0.0032734955,0.00042744866,0.005257018,-0.0128589235,0.0020531146,-0.01403841,-0.004118232,-0.0004887227,0.00083586015,-0.003243279,0.00093259674,-0.001188196,0.0032298244,0.66766655,0.0028894977,-0.011899944,-0.021748252,-0.0073768087,-0.010697964,0.0038650557,-0.0038118856,-0.0068607945,0.0022945292,0.0061609866,-0.0028523807,-0.00080622174,-0.010221201,-0.013173187,-0.0016231984,-0.004313077,0.001297568,0.005471371,1.0038049,0.013002396,-0.006347237,-0.007962488,0.0052846298,-0.008196278,0.006064819,0.005208037,0.015235416,-0.0037889117,-0.013063461,1.015408,-0.009241266,0.0012871013,-0.005471657,-0.0012637731,0.005048152,0.003350624,0.0006257817,0.0030664532,0.009054946,-0.0006794818,-0.0060015526,-0.001690668,0.0092365,-0.0068728887,-0.00096075796,0.7210057,-0.008493174,0.0056909723,0.008684893,-0.00013514236,-0.0035557076,0.008380868,-0.0042729545,-0.006077537,-0.0016255209,1.029415,0.006477723,0
0.6867511,-0.0049088737,-0.005977135,-0.0041961204,-0.0025600963,0.0032063965,-0.0052907825,0.007643145,-0.00060840324,-0.009889282,0.0011915416,-0.0058358037,-0.0010480706,-0.006309688,-0.0031405042,-0.0018127416,-0.009523674,0.0031129806,-0.0036828853,-0.008675284,0.00028598122,-0.002692632,-0.003423581,0.0013280404,-0.0064866357,0.0048922207,-0.00039216666,0.0038508852,0.0064510475,-0.0044343984,0.0022304067,-0.0013462845,0.00045056827,0.003041341,0.0023738397,-0.0095262285,-0.00420315,-0.0064741764,-0.009425122,0.0027753492,-0.009050475,0.0013477076,-0.009926246,0.005233459,0.00028305547,-0.01209417,0.99632215,-0.008353382,0.001030535,-0.007960374,-0.00586061,-0.0018055774,-0.00079983333,0.0033104944,9.1680326e-05,0.007598312,0.001285525,-0.0037970291,0.0020816382,0.002886407,-0.004592916,-0.0013932362,0.7754303,0.0007114876,0.0004218188,0.0069364216,0.0015031183,-0.0013733758,0.00079124514,0.001840271,-0.0045225555,-0.0032063085,1.0019901,0.007410217,0
0.63249165,-0.005626979,0.00079840363,-0.0036157342,-0.00518001,0.001320323,-0.011156555,0.0024865763,-0.004940694,0.0010910323,-0.0060257204,0.020756872,0.010057703,0.014784144,0.012967728,-0.0012377803,-0.019169778,0.00085689314,-0.006686358,-0.017747931,-0.00945641,-0.019919612,0.008641522,0.0010452014,-0.0015826067,0.0061578583,0.0058017164,-0.011548458,-0.0046348833,0.0062659113,-0.0048715696,0.005162105,-0.001529336,-0.0020574774,0.0011806428,-0.058603577,0.0049623754,-0.009285862,0.004846002,0.017304327,0.0040328316,0.0099293515,0.018342325,0.0111108525,-0.008896803,0.050713718,0.8994473,0.011772383,0.004564278,-0.0015954543,-0.011213386,0.012116064,-0.0017143686,0.018058565,0.0066545373,0.016989525,-0.0004823571,-0.0094502,-0.00091660954,0.021501288,0.023819981,0.002635967,0.56142026,-0.008966936,0.003490379,0.007874477,0.0015538847,-0.00021684822,0.009741286,-0.0113056805,-0.017297775,-0.0011696668,0.97763145,0.010269647,0
0.65797406,-0.0055673462,-0.0061641983,-0.0029337192,-0.0013313438,0.0047629625,-0.0069443476,0.006274498,-0.005173577,-0.008167459,-0.0006294111,-0.001991252,-0.001319191,-0.0015727927,0.00074283173,-0.0011076466,0.21851245,0.0028356411,-0.003093237,-0.011908048,-0.003440219,-0.00756671,0.0011272877,0.0037101735,-0.0035820846,0.0026295464,0.0010101582,-0.00029544346,0.0020462219,-0.004544531,-0.0038644746,-0.0011191443,-0.0012396453,0.00011475384,0.0033871979,0.32015103,0.0029670214,-0.0046660854,-0.009129334,0.006361531,-0.008226089,0.0022481217,-0.0019751247,0.005344903,-0.0008628671,-0.015240431,1.0148298,-0.008072525,8.428609e-05,-0.005037863,-0.0059159156,0.0022842335,0.00088808016,0.0020713422,0.0020368258,0.009703315,-0.0008568615,-0.0053299824,-0.0004903618,0.00069420785,-0.0032064859,0.00084542856,0.7485317,-0.0037896223,0.0012990525,0.0076596416,0.00017891172,-0.0030220496,0.0013710968,0.00033897534,-0.0041170674,-0.0041031716,1.0182419,0.0069994377,0
0.4502775,6.8308786e-05,-0.0032178154,-0.0037070084,0.0012230943,0.0050801765,-0.011883623,0.0012725666,-0.014716815,-0.0027401317,-0.00061285216,0.00048493547,-0.0027942292,0.0015572641,-0.0009865626,0.0043108906,0.6635437,0.0031625237,-0.011048455,-0.022438444,-0.0071737515,-0.012039607,0.0037221666,-0.0047668633,-0.0069223866,0.0014748946,0.006312662,-0.0021966933,-0.0017934917,-0.010721562,-0.014002245,-3.0994415e-06,-0.003643605,0.0014141523,0.0051465463,0.998123,0.019007808,-0.0076125814,-0.00708434,0.0044139023,-0.007931042,0.0061963657,0.005801188,0.015769374,-0.0040636156,-0.005834967,1.0046132,-0.008146599,0.0019873912,-0.0062951194,0.0014782548,0.0064084856,0.004549575,0.00057735434,0.00330659,0.008163402,-0.0010110606,-0.006260845,-0.0013402319,0.009094052,-0.005996695,0.00035966374,0.7094865,-0.009217546,0.006513554,0.009050544,0.00050317124,-0.0033627478,0.008625156,-0.0037593264,-0.006974778,-0.0013202243,1.0258774,0.0060978243,0
0.8418633,-0.0029793628,-0.0042742873,-0.0034464514,-0.001674613,0.0057419464,-0.0072806636,0.0064299717,-0.004983751,-0.009361079,-0.0017473996,0.00042278273,-0.00087865326,-0.0017541319,-0.0010458902,-4.3260865e-05,0.24711135,0.0029499726,-0.004738299,-0.011338267,-0.0027577803,-0.005577312,0.00038892776,0.0038891756,-0.002713142,0.0039628353,-0.00014957692,0.00014532311,0.0022163969,-0.00397071,-0.0026571508,-0.0018716864,-0.0011204602,0.00026235078,0.0029773964,0.36922362,0.00093791354,-0.0038900375,-0.010236636,0.0064186193,-0.0071214996,0.0003953306,-0.0022464646,0.0067003965,-0.001213423,-0.009316921,1.0036197,-0.007889934,-0.0004169261,-0.0038873246,-0.005021652,0.00173211,0.00027978257,0.0033347255,0.0009446,0.007965313,-0.00225153,-0.0056968266,-0.0002633799,0.0040269867,-0.0037529469,-0.0008181948,0.7401974,-0.0034767073,0.0015156474,0.0063086203,-6.959215e-05,-0.0039005885,0.0017986307,0.0016630553,-0.0040554935,-0.002908257,1.0059204,0.006541049,0
0.6680043,-0.0047785626,-0.0047122524,-0.00054414757,0.00011405721,0.005558392,-0.011561708,0.0062771016,-0.01134423,-0.008555707,-0.0026710257,0.0005409117,-0.0042181024,-0.0013463225,-0.0032891291,0.001057324,0.68311673,0.0043380614,-0.011553399,-0.018445317,-0.007162718,-0.007428283,0.0037006177,-0.0013935426,-0.0066852886,0.0027527958,0.005371516,-0.0027735517,0.0027515646,-0.009588275,-0.008609548,-0.004527565,-0.0035205977,0.0018895557,0.0061979964,1.0279021,-0.0011366569,-0.0007802695,-0.00908073,0.0048703486,-0.009408994,0.002432217,0.0011522435,0.013482017,-0.0025921678,-0.025393903,1.0269399,-0.009528227,-0.0028180643,-0.005492092,-0.009199189,0.0034771143,0.0014449455,0.003409365,0.0032482613,0.008199617,0.000103255734,-0.0052260906,-0.0022637034,0.0067521557,-0.006924158,-0.0016145445,0.7365489,-0.006019923,0.004144689,0.007141781,4.914496e-05,-0.0039047748,0.008140092,-0.00041620433,-0.0038893693,-0.0016356518,1.0301535,0.007914473,0
0.8114048,-0.0039811092,-0.00419678,-0.0035246853,-0.001391192,0.0045503546,-0.0060901977,0.0064301873,-0.003636608,-0.008890919,-0.0009184964,-0.0015225182,-0.00059579685,-0.0025037036,-0.0018680484,-0.0002396619,0.19586118,0.002681516,-0.004084425,-0.009830111,-0.0028701723,-0.005212602,-0.0007276358,0.0032713623,-0.0033288933,0.0047787745,-0.0012878688,0.00078967307,0.0028127166,-0.004055909,-0.0015639588,-0.00062802806,-4.4492073e-05,0.001237194,0.0029115183,0.29321408,0.001713071,-0.0043355525,-0.010555576,0.005744407,-0.0066401735,0.0003557778,-0.0032725977,0.0064859833,-0.0011900156,-0.0038553178,0.98812604,-0.008166362,-0.0005942336,-0.0046556825,-0.003205331,0.0015128013,0.0005463663,0.002322282,-0.0001948676,0.006636864,-0.0015181443,-0.0054827007,0.0010539046,0.0053514093,-0.0037838258,-3.7234277e-06,0.7357456,-0.002427468,0.0011782851,0.0066595166,0.0016925829,-0.004718936,0.0019729678,0.0033087619,-0.0049568154,-0.002604035,0.9966093,0.007343254,0
0.649051,-0.004246519,-0.004751177,-0.0016325982,1.5644357e-05,0.004933672,-0.012100697,0.005889792,-0.010688739,-0.0073031373,-0.0022020955,0.0005786922,-0.0040996782,-0.0007051937,-0.00305813,0.00090321526,0.6643143,0.004348851,-0.011366487,-0.018253665,-0.007360664,-0.0077424906,0.0029878747,-0.0018406371,-0.006163979,0.0035912413,0.005678256,-0.0028192154,0.0026822998,-0.009262308,-0.008894384,-0.0038764197,-0.0032586213,0.0016954732,0.005592174,0.99870646,-0.00048690848,-0.0016174652,-0.009214689,0.0053571276,-0.008586692,0.0027846238,0.0027524242,0.013061558,-0.0022343085,-0.016656995,1.0081637,-0.00918735,-0.0020908404,-0.005896489,-0.0076554026,0.0038519679,0.0014065069,0.0032442592,0.0028589796,0.008211623,0.00039683655,-0.005857529,-0.0021602865,0.008756697,-0.0066333506,-0.0012391061,0.72684866,-0.0067652455,0.0043486925,0.0070592966,-0.00025089178,-0.0042453995,0.0077301725,-0.00085595436,-0.004082315,-0.0020615503,1.0213668,0.007916157,0
